Type,Name,Latitude,Longitude
Waypoint,Day Parking,38.5980796,-79.2014375
Waypoint,Fire Tower,38.568632,-79.1708031
Waypoint,Intersection HK 1,38.5703469,-79.1739045
Waypoint,Intersection Saw Mill 1,38.5895232,-79.1979202
RoutePoint,Trail,38.5935786,-79.1972391
RoutePoint,Trail1,38.5926405,-79.1950798
RoutePoint,Trail2,38.5902165,-79.193885
RoutePoint,Trail3,38.5889886,-79.1916111
RoutePoint,Trail4,38.585643,-79.1894646
RoutePoint,Trail5,38.5815731,-79.1850768
RoutePoint,Trail6,38.5772965,-79.1823754
RoutePoint,Trail7,38.5753929,-79.1795207
RoutePoint,Intersection HK 1,38.5703469,-79.1739045
RoutePoint,Road,38.5699054,-79.1723381
RoutePoint,Road1,38.568449,-79.1724586
RoutePoint,3937ft,38.5677132,-79.1715511
RoutePoint,3937ft1,38.5675307,-79.1691732
RoutePoint,Fire Tower,38.568632,-79.1708031
RoutePoint,3937ft1,38.5675307,-79.1691732
RoutePoint,3937ft,38.5677132,-79.1715511
RoutePoint,Road1,38.568449,-79.1724586
RoutePoint,Road,38.5699054,-79.1723381
RoutePoint,Intersection HK 1,38.5703469,-79.1739045
RoutePoint,Trail7,38.5753929,-79.1795207
RoutePoint,Trail6,38.5772965,-79.1823754
RoutePoint,Trail5,38.5815731,-79.1850768
RoutePoint,Trail4,38.585643,-79.1894646
RoutePoint,Trail3,38.5889886,-79.1916111
RoutePoint,Trail2,38.5902165,-79.193885
RoutePoint,Trail1,38.5926405,-79.1950798
RoutePoint,Trail,38.5935786,-79.1972391
RoutePoint,Road2,38.5933399,-79.1977787
RoutePoint,1969ft,38.5920342,-79.1970976
RoutePoint,Road3,38.5907929,-79.1972276
RoutePoint,Intersection Saw Mill 1,38.5895232,-79.1979202
RoutePoint,NationalPark,38.5851319,-79.2015186
RoutePoint,HawesRun,38.576871,-79.2015632
RoutePoint,IntermittentStream,38.5714531,-79.1953754
RoutePoint,2461ft,38.5730519,-79.1941976
RoutePoint,2461ft1,38.5739422,-79.194603
RoutePoint,2461ft2,38.5749805,-79.1952323
RoutePoint,NationalPark1,38.5751566,-79.1922001
RoutePoint,2461ft3,38.5782676,-79.1919383
RoutePoint,NationalPark2,38.580101,-79.1928884
RoutePoint,Stream,38.5798571,-79.1893207
RoutePoint,2133ft,38.5859275,-79.1936528
RoutePoint,Road4,38.5870662,-79.1957096
RoutePoint,Intersection Saw Mill 1,38.5895232,-79.1979202
RoutePoint,Road3,38.5907929,-79.1972276
RoutePoint,1969ft,38.5920342,-79.1970976
RoutePoint,Road2,38.5933399,-79.1977787
